fullType: Base.Belly_Turtleneck, basePrice: 257, tag: CLOTHING_NORMAL
fullType: Base.Adidas_Pad_Jacket_ON, basePrice: 184, tag: CLOTHING_NORMAL
fullType: Base.BellyButton_RingGoldRuby, basePrice: 84, tag: CLOTHING_NORMAL
fullType: Base.WildGarlicCataplasm, basePrice: 1361, tag: COSMETIC
fullType: Base.ANA_Classic_ON, basePrice: 103, tag: CLOTHING_NORMAL
fullType: Base.PipeBomb, basePrice: 1816, tag: GUN
fullType: Base.MakeupEyeshadow, basePrice: 3191, tag: COSMETIC
fullType: Base.Hat_GasMask, basePrice: 317, tag: CLOTHING_NORMAL
fullType: Base.Shirt_Scrubs, basePrice: 258, tag: CLOTHING_NORMAL
fullType: Base.ToiletPaper, basePrice: 732, tag: TOOL
fullType: Base.Mov_BinRound, basePrice: 311, tag: COSMETIC
fullType: Base.PlasticCupWater, basePrice: 1469, tag: TOOL
fullType: Base.LightBulbOrange, basePrice: 218, tag: COSMETIC
fullType: Base.Heather_Bomber, basePrice: 377, tag: CLOTHING_NORMAL
fullType: Base.WaterBottleFull, basePrice: 717, tag: TOOL
fullType: Base.Umbrella, basePrice: 7693, tag: COSMETIC
fullType: Base.NormalGasTank1, basePrice: 5569, tag: COSMETIC
fullType: Base.BarbedWire, basePrice: 4773, tag: COSMETIC
fullType: Base.NormalGasTank2, basePrice: 9605, tag: COSMETIC
fullType: Base.Glove_Mechanix_Pact, basePrice: 106, tag: CLOTHING_NORMAL
fullType: Base.Shirt_CamoDesert, basePrice: 229, tag: CLOTHING_NORMAL
fullType: Base.Gravelbag, basePrice: 848, tag: TOOL
fullType: Base.NormalGasTank3, basePrice: 4168, tag: COSMETIC
fullType: Base.USCM_Jacket, basePrice: 257, tag: CLOTHING_NORMAL
fullType: Base.511_Pants_Rolled, basePrice: 256, tag: CLOTHING_NORMAL
fullType: Base.Register2Carry, basePrice: 832, tag: CLOTHING_BAG
fullType: Base.Bowl, basePrice: 7456, tag: COSMETIC
fullType: Base.CannedPineapple, basePrice: 181, tag: FOOD
fullType: Base.Earring_Stone_Sapphire, basePrice: 260, tag: CLOTHING_NORMAL
fullType: Base.Ashe_Necktie, basePrice: 102, tag: CLOTHING_NORMAL
fullType: Base.ATA1100Trunk, basePrice: 2008, tag: COSMETIC
fullType: Base.UmbrellaBlack, basePrice: 4404, tag: COSMETIC
fullType: Base.FlameTrapRemote, basePrice: 893, tag: GUN
fullType: Base.Hat_BalaclavaFull, basePrice: 285, tag: CLOTHING_NORMAL
fullType: Base.BucketPlasterFull, basePrice: 770, tag: TOOL
fullType: Base.Shirts_James, basePrice: 342, tag: CLOTHING_NORMAL
fullType: Base.Messkit_B, basePrice: 439, tag: CLOTHING_BAG
fullType: Base.EmptySandbag, basePrice: 1721, tag: CLOTHING_BAG
fullType: Base.Crackers, basePrice: 102, tag: FOOD
fullType: Base.GummyBears, basePrice: 186, tag: FOOD
